timestamp,source_address,source_port,destination_address,destination_port,connection_type,interval,transferred_bytes,bits_per_second
20210309083111,200:6de9:bd0e:5799:cb49:dd29:e5b1:8b5b,53740,200:6f3f:1f2a:47b7:a498:6f27:28a4:395f,5001,5,0.0-12.4,9961472,6446880
20210309083126,200:6de9:bd0e:5799:cb49:dd29:e5b1:8b5b,5001,200:6f3f:1f2a:47b7:a498:6f27:28a4:395f,47846,4,0.0-13.6,12451840,7310542
20210309084323,200:6de9:bd0e:5799:cb49:dd29:e5b1:8b5b,32904,200:6f3f:1f2a:47b7:a498:6f27:28a4:395f,5001,5,0.0-11.6,8126464,5596312
20210309084327,200:6de9:bd0e:5799:cb49:dd29:e5b1:8b5b,5001,200:6f3f:1f2a:47b7:a498:6f27:28a4:395f,47872,4,0.0-15.6,4125882,2110910
20210309095904,200:6de9:bd0e:5799:cb49:dd29:e5b1:8b5b,51464,200:6f3f:1f2a:47b7:a498:6f27:28a4:395f,5001,5,0.0-13.7,4746029,2779217
20210309095938,200:6de9:bd0e:5799:cb49:dd29:e5b1:8b5b,5001,200:6f3f:1f2a:47b7:a498:6f27:28a4:395f,48034,4,0.0-30.3,6382604,1682507
